#  E (eV)   dos(E)     Int dos(E)
 -2.066  0.5016E+00  0.1891E+01
 -2.056  0.4932E+00  0.1896E+01
 -2.046  0.4839E+00  0.1901E+01
 -2.036  0.4738E+00  0.1906E+01
 -2.026  0.4628E+00  0.1911E+01
 -2.016  0.4509E+00  0.1915E+01
 -2.006  0.4381E+00  0.1919E+01
 -1.996  0.4245E+00  0.1924E+01
 -1.986  0.4101E+00  0.1928E+01
 -1.976  0.3932E+00  0.1932E+01
 -1.966  0.3759E+00  0.1936E+01
 -1.956  0.3593E+00  0.1939E+01
 -1.946  0.3433E+00  0.1943E+01
 -1.936  0.3279E+00  0.1946E+01
 -1.926  0.3159E+00  0.1949E+01
 -1.916  0.3041E+00  0.1952E+01
 -1.906  0.2924E+00  0.1955E+01
 -1.896  0.2810E+00  0.1958E+01
 -1.886  0.2698E+00  0.1960E+01
 -1.876  0.2587E+00  0.1963E+01
 -1.866  0.2478E+00  0.1966E+01
 -1.856  0.2372E+00  0.1968E+01
 -1.846  0.2267E+00  0.1970E+01
 -1.836  0.2164E+00  0.1972E+01
 -1.826  0.2063E+00  0.1974E+01
 -1.816  0.1963E+00  0.1976E+01
 -1.806  0.1866E+00  0.1978E+01
 -1.796  0.1770E+00  0.1980E+01
 -1.786  0.1677E+00  0.1982E+01
 -1.776  0.1585E+00  0.1983E+01
 -1.766  0.1495E+00  0.1985E+01
 -1.756  0.1407E+00  0.1986E+01
 -1.746  0.1321E+00  0.1987E+01
 -1.736  0.1237E+00  0.1989E+01
 -1.726  0.1155E+00  0.1990E+01
 -1.716  0.1075E+00  0.1991E+01
 -1.706  0.9978E-01  0.1992E+01
 -1.696  0.9233E-01  0.1993E+01
 -1.686  0.8516E-01  0.1994E+01
 -1.676  0.7826E-01  0.1994E+01
 -1.666  0.7163E-01  0.1995E+01
 -1.656  0.6527E-01  0.1996E+01
 -1.646  0.5918E-01  0.1996E+01
 -1.636  0.5337E-01  0.1997E+01
 -1.626  0.4782E-01  0.1997E+01
 -1.616  0.4255E-01  0.1998E+01
 -1.606  0.3754E-01  0.1998E+01
 -1.596  0.3281E-01  0.1999E+01
 -1.586  0.2835E-01  0.1999E+01
 -1.576  0.2428E-01  0.1999E+01
 -1.566  0.2071E-01  0.1999E+01
 -1.556  0.1764E-01  0.2000E+01
 -1.546  0.1527E-01  0.2000E+01
 -1.536  0.1405E-01  0.2000E+01
 -1.526  0.1318E-01  0.2000E+01
 -1.516  0.1264E-01  0.2000E+01
 -1.506  0.1245E-01  0.2000E+01
 -1.496  0.1259E-01  0.2000E+01
 -1.486  0.1308E-01  0.2000E+01
 -1.476  0.1391E-01  0.2001E+01
 -1.466  0.1509E-01  0.2001E+01
 -1.456  0.1671E-01  0.2001E+01
 -1.446  0.1887E-01  0.2001E+01
 -1.436  0.2158E-01  0.2001E+01
 -1.426  0.2483E-01  0.2002E+01
 -1.416  0.2856E-01  0.2002E+01
 -1.406  0.3260E-01  0.2002E+01
 -1.396  0.3691E-01  0.2003E+01
 -1.386  0.4150E-01  0.2003E+01
 -1.376  0.4638E-01  0.2003E+01
 -1.366  0.5153E-01  0.2004E+01
 -1.356  0.5696E-01  0.2004E+01
 -1.346  0.6268E-01  0.2005E+01
 -1.336  0.6867E-01  0.2006E+01
 -1.326  0.7494E-01  0.2007E+01
 -1.316  0.8146E-01  0.2007E+01
 -1.306  0.8813E-01  0.2008E+01
 -1.296  0.9495E-01  0.2009E+01
 -1.286  0.1019E+00  0.2010E+01
 -1.276  0.1090E+00  0.2011E+01
 -1.266  0.1163E+00  0.2012E+01
 -1.256  0.1237E+00  0.2014E+01
 -1.246  0.1313E+00  0.2015E+01
 -1.236  0.1390E+00  0.2016E+01
 -1.226  0.1468E+00  0.2018E+01
 -1.216  0.1548E+00  0.2019E+01
 -1.206  0.1630E+00  0.2021E+01
 -1.196  0.1713E+00  0.2023E+01
 -1.186  0.1797E+00  0.2025E+01
 -1.176  0.1883E+00  0.2026E+01
 -1.166  0.1971E+00  0.2028E+01
 -1.156  0.2060E+00  0.2030E+01
 -1.146  0.2150E+00  0.2033E+01
 -1.136  0.2242E+00  0.2035E+01
 -1.126  0.2335E+00  0.2037E+01
 -1.116  0.2430E+00  0.2040E+01
 -1.106  0.2526E+00  0.2042E+01
 -1.096  0.2624E+00  0.2045E+01
 -1.086  0.2723E+00  0.2048E+01
 -1.076  0.2824E+00  0.2050E+01
 -1.066  0.2926E+00  0.2053E+01
 -1.056  0.3030E+00  0.2056E+01
 -1.046  0.3135E+00  0.2059E+01
 -1.036  0.3242E+00  0.2063E+01
 -1.026  0.3350E+00  0.2066E+01
 -1.016  0.3501E+00  0.2070E+01
 -1.006  0.3661E+00  0.2073E+01
 -0.996  0.3820E+00  0.2077E+01
 -0.986  0.3978E+00  0.2081E+01
 -0.976  0.4136E+00  0.2085E+01
 -0.966  0.4293E+00  0.2089E+01
 -0.956  0.4449E+00  0.2094E+01
